model,frame,condition,prediction,region,abs_err_vs_gt,n
Full,0038:0072,snow,mono_only,nonsky,8.867989540100098,1006663
Full,0038:0072,snow,mono_only,textureless,2.4981696605682373,7320
Full,0038:0072,snow,mono_only,textured,5.849886417388916,2066280
E0,0038:0096,clean,fused,valid,0.501866340637207,2073600
E0,0038:0096,clean,fused,sky,0.5638746619224548,1287895
E0,0038:0096,clean,fused,nonsky,0.4002246856689453,785705
E0,0038:0096,clean,fused,textureless,0.24286562204360962,686386
E0,0038:0096,clean,fused,textured,0.6300182938575745,1387214
Full,0038:0096,clean,fused,valid,0.502176821231842,2073600
Full,0038:0096,clean,fused,sky,0.5646021962165833,1287895
Full,0038:0096,clean,fused,nonsky,0.39985209703445435,785705
Full,0038:0096,clean,fused,textureless,0.23935732245445251,686386
Full,0038:0096,clean,fused,textured,0.6322185397148132,1387214
Full,0038:0096,clean,stereo_only,valid,0.5021703839302063,2073600
Full,0038:0096,clean,stereo_only,sky,0.5645598769187927,1287895
Full,0038:0096,clean,stereo_only,nonsky,0.3999037742614746,785705
Full,0038:0096,clean,stereo_only,textureless,0.23937763273715973,686386
Full,0038:0096,clean,stereo_only,textured,0.632198691368103,1387214
Full,0038:0096,clean,mono_only,valid,7.4543938636779785,2073600
Full,0038:0096,clean,mono_only,sky,2.4264461994171143,1287895
Full,0038:0096,clean,mono_only,nonsky,15.695992469787598,785705
Full,0038:0096,clean,mono_only,textureless,1.4209699630737305,686386
Full,0038:0096,clean,mono_only,textured,10.439698219299316,1387214
E0,0038:0096,fog,fused,valid,15.905327796936035,2073600
E0,0038:0096,fog,fused,sky,25.340023040771484,1287895
E0,0038:0096,fog,fused,nonsky,0.44039005041122437,785705
E0,0038:0096,fog,fused,textureless,28.96478843688965,1123201
E0,0038:0096,fog,fused,textured,0.4713912904262543,950399
Full,0038:0096,fog,fused,valid,4.1255011558532715,2073600
Full,0038:0096,fog,fused,sky,6.36007833480835,1287895
Full,0038:0096,fog,fused,nonsky,0.46267837285995483,785705
Full,0038:0096,fog,fused,textureless,7.2266950607299805,1123201
Full,0038:0096,fog,fused,textured,0.46044838428497314,950399
Full,0038:0096,fog,stereo_only,valid,4.125491619110107,2073600
Full,0038:0096,fog,stereo_only,sky,6.360045433044434,1287895
Full,0038:0096,fog,stereo_only,nonsky,0.46269774436950684,785705
Full,0038:0096,fog,stereo_only,textureless,7.226657390594482,1123201
Full,0038:0096,fog,stereo_only,textured,0.4604639708995819,950399
Full,0038:0096,fog,mono_only,valid,4.600157260894775,2073600
Full,0038:0096,fog,mono_only,sky,2.726400136947632,1287895
Full,0038:0096,fog,mono_only,nonsky,7.671546459197998,785705
Full,0038:0096,fog,mono_only,textureless,3.2985100746154785,1123201
Full,0038:0096,fog,mono_only,textured,6.1384735107421875,950399
E0,0038:0096,frost,fused,valid,1.7266855239868164,2073600
E0,0038:0096,frost,fused,sky,2.295502185821533,1287895
E0,0038:0096,frost,fused,nonsky,0.7943044900894165,785705
E0,0038:0096,frost,fused,textureless,4.037407875061035,404802
E0,0038:0096,frost,fused,textured,1.166171908378601,1668798
Full,0038:0096,frost,fused,valid,0.6133869290351868,2073600
Full,0038:0096,frost,fused,sky,0.649968683719635,1287895
Full,0038:0096,frost,fused,nonsky,0.5534234642982483,785705
Full,0038:0096,frost,fused,textureless,0.18982021510601044,404802
Full,0038:0096,frost,fused,textured,0.7161317467689514,1668798
Full,0038:0096,frost,stereo_only,valid,0.6125878095626831,2073600
Full,0038:0096,frost,stereo_only,sky,0.6484564542770386,1287895
Full,0038:0096,frost,stereo_only,nonsky,0.5537928342819214,785705
Full,0038:0096,frost,stereo_only,textureless,0.18858689069747925,404802
Full,0038:0096,frost,stereo_only,textured,0.7154375314712524,1668798
Full,0038:0096,frost,mono_only,valid,10.227056503295898,2073600
Full,0038:0096,frost,mono_only,sky,6.809696674346924,1287895
Full,0038:0096,frost,mono_only,nonsky,15.828649520874023,785705
Full,0038:0096,frost,mono_only,textureless,4.387441158294678,404802
Full,0038:0096,frost,mono_only,textured,11.643580436706543,1668798
E0,0038:0096,snow,fused,valid,1.8421821594238281,2073600
E0,0038:0096,snow,fused,sky,2.5849623680114746,1287895
E0,0038:0096,snow,fused,nonsky,0.6246456503868103,785705
E0,0038:0096,snow,fused,textureless,2.6530094146728516,8247
E0,0038:0096,snow,fused,textured,1.8389439582824707,2065353
Full,0038:0096,snow,fused,valid,0.578584611415863,2073600
Full,0038:0096,snow,fused,sky,0.5876193642616272,1287895
Full,0038:0096,snow,fused,nonsky,0.5637754797935486,785705
Full,0038:0096,snow,fused,textureless,0.4748418927192688,8247
Full,0038:0096,snow,fused,textured,0.5789991617202759,2065353
Full,0038:0096,snow,stereo_only,valid,0.5779712200164795,2073600
Full,0038:0096,snow,stereo_only,sky,0.586650013923645,1287895
Full,0038:0096,snow,stereo_only,nonsky,0.5637456178665161,785705
Full,0038:0096,snow,stereo_only,textureless,0.4747476279735565,8247
Full,0038:0096,snow,stereo_only,textured,0.5783834457397461,2065353
Full,0038:0096,snow,mono_only,valid,4.777946472167969,2073600
Full,0038:0096,snow,mono_only,sky,2.5385570526123047,1287895
Full,0038:0096,snow,mono_only,nonsky,8.448665618896484,785705
Full,0038:0096,snow,mono_only,textureless,1.8571641445159912,8247
Full,0038:0096,snow,mono_only,textured,4.789610862731934,2065353
E0,0038:0120,clean,fused,valid,0.40355587005615234,2073600
E0,0038:0120,clean,fused,sky,0.4633326530456543,1485552
E0,0038:0120,clean,fused,nonsky,0.2525450885295868,588048
E0,0038:0120,clean,fused,textureless,0.176644966006279,885484
E0,0038:0120,clean,fused,textured,0.5726689696311951,1188116
Full,0038:0120,clean,fused,valid,0.4048291742801666,2073600
Full,0038:0120,clean,fused,sky,0.4661377966403961,1485552
Full,0038:0120,clean,fused,nonsky,0.24994876980781555,588048
Full,0038:0120,clean,fused,textureless,0.1754382848739624,885484
Full,0038:0120,clean,fused,textured,0.5757905840873718,1188116
Full,0038:0120,clean,stereo_only,valid,0.40481510758399963,2073600
Full,0038:0120,clean,stereo_only,sky,0.4660862982273102,1485552
Full,0038:0120,clean,stereo_only,nonsky,0.2500297725200653,588048
Full,0038:0120,clean,stereo_only,textureless,0.1754460334777832,885484
Full,0038:0120,clean,stereo_only,textured,0.5757603049278259,1188116
Full,0038:0120,clean,mono_only,valid,6.718904972076416,2073600
Full,0038:0120,clean,mono_only,sky,1.5377402305603027,1485552
Full,0038:0120,clean,mono_only,nonsky,19.807783126831055,588048
Full,0038:0120,clean,mono_only,textureless,0.3591136038303375,885484
Full,0038:0120,clean,mono_only,textured,11.45875072479248,1188116
E0,0038:0120,fog,fused,valid,17.932058334350586,2073600
E0,0038:0120,fog,fused,sky,24.901185989379883,1485552
E0,0038:0120,fog,fused,nonsky,0.3263395428657532,588048
E0,0038:0120,fog,fused,textureless,28.496143341064453,1296214
E0,0038:0120,fog,fused,textured,0.31742334365844727,777386
Full,0038:0120,fog,fused,valid,13.526702880859375,2073600
Full,0038:0120,fog,fused,sky,18.74647331237793,1485552
Full,0038:0120,fog,fused,nonsky,0.3403152525424957,588048
Full,0038:0120,fog,fused,textureless,21.455299377441406,1296214
Full,0038:0120,fog,fused,textured,0.30657151341438293,777386
Full,0038:0120,fog,stereo_only,valid,13.52650260925293,2073600
